{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.878, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.059, 'a_y': -0.032, 'a_x': -0.007, 'volt_b1': 3.584, 'pressure': 100469.352, 'volt_b2': 1.024, 'current_2': -4.0, 'current_1': -101.0, 'time': 1486082292.922771, 'mag_y': 254.0, 'mag_x': 7691.0, 'gps_spd': 0.053, 'mag_z': -8351.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.878, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.056, 'a_y': -0.034, 'a_x': -0.018, 'volt_b1': 3.584, 'pressure': 100469.352, 'volt_b2': 1.024, 'current_2': -5.0, 'current_1': -99.0, 'time': 1486082293.001911, 'mag_y': 220.0, 'mag_x': 7707.0, 'gps_spd': 0.053, 'mag_z': -8263.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.878, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.068, 'a_y': -0.028, 'a_x': -0.009, 'volt_b1': 3.584, 'pressure': 100469.352, 'volt_b2': 1.024, 'current_2': -6.0, 'current_1': -109.0, 'time': 1486082293.0811, 'mag_y': 226.0, 'mag_x': 7699.0, 'gps_spd': 0.053, 'mag_z': -8288.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.878, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.053, 'a_y': -0.036, 'a_x': -0.017, 'volt_b1': 3.456, 'pressure': 100470.513, 'volt_b2': 1.024, 'current_2': -3.0, 'current_1': -107.0, 'time': 1486082293.160158, 'mag_y': 235.0, 'mag_x': 7705.0, 'gps_spd': 0.053, 'mag_z': -8332.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.87, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.052, 'a_y': -0.03, 'a_x': -0.015, 'volt_b1': 3.584, 'pressure': 100468.962, 'volt_b2': 1.024, 'current_2': -6.0, 'current_1': -124.0, 'time': 1486082293.239198, 'mag_y': 190.0, 'mag_x': 7693.0, 'gps_spd': 0.053, 'mag_z': -8381.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.87, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.054, 'a_y': -0.036, 'a_x': -0.009, 'volt_b1': 3.584, 'pressure': 100468.962, 'volt_b2': 1.024, 'current_2': -5.0, 'current_1': -126.0, 'time': 1486082293.318227, 'mag_y': 235.0, 'mag_x': 7679.0, 'gps_spd': 0.053, 'mag_z': -8328.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.87, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.051, 'a_y': -0.029, 'a_x': -0.016, 'volt_b1': 3.456, 'pressure': 100468.962, 'volt_b2': 1.024, 'current_2': -6.0, 'current_1': -120.0, 'time': 1486082293.397283, 'mag_y': 195.0, 'mag_x': 7672.0, 'gps_spd': 0.053, 'mag_z': -8323.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.87, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.052, 'a_y': -0.031, 'a_x': -0.013, 'volt_b1': 3.456, 'pressure': 100468.962, 'volt_b2': 1.024, 'current_2': -5.0, 'current_1': -117.0, 'time': 1486082293.476349, 'mag_y': 241.0, 'mag_x': 7712.0, 'gps_spd': 0.053, 'mag_z': -8333.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.87, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.051, 'a_y': -0.034, 'a_x': -0.013, 'volt_b1': 3.456, 'pressure': 100468.962, 'volt_b2': 0.896, 'current_2': -4.0, 'current_1': -116.0, 'time': 1486082293.555452, 'mag_y': 176.0, 'mag_x': 7655.0, 'gps_spd': 0.053, 'mag_z': -8304.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.87, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.055, 'a_y': -0.031, 'a_x': -0.013, 'volt_b1': 3.456, 'pressure': 100468.962, 'volt_b2': 0.896, 'current_2': -5.0, 'current_1': -118.0, 'time': 1486082293.634578, 'mag_y': 206.0, 'mag_x': 7713.0, 'gps_spd': 0.053, 'mag_z': -8345.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.86, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.05, 'a_y': -0.032, 'a_x': -0.013, 'volt_b1': 3.584, 'pressure': 100468.379, 'volt_b2': 0.896, 'current_2': -5.0, 'current_1': -102.0, 'time': 1486082293.713693, 'mag_y': 217.0, 'mag_x': 7923.0, 'gps_spd': 0.053, 'mag_z': -8382.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.86, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.055, 'a_y': -0.032, 'a_x': -0.013, 'volt_b1': 3.456, 'pressure': 100468.379, 'volt_b2': 0.896, 'current_2': -5.0, 'current_1': -109.0, 'time': 1486082293.792925, 'mag_y': 223.0, 'mag_x': 7710.0, 'gps_spd': 0.053, 'mag_z': -8323.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.86, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.053, 'a_y': -0.034, 'a_x': -0.012, 'volt_b1': 3.456, 'pressure': 100468.379, 'volt_b2': 0.896, 'current_2': -5.0, 'current_1': -117.0, 'time': 1486082293.871987, 'mag_y': 198.0, 'mag_x': 7707.0, 'gps_spd': 0.053, 'mag_z': -8307.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.86, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.045, 'a_y': -0.031, 'a_x': -0.017, 'volt_b1': 3.456, 'pressure': 100468.379, 'volt_b2': 1.024, 'current_2': -4.0, 'current_1': -161.0, 'time': 1486082293.951011, 'mag_y': 205.0, 'mag_x': 7704.0, 'gps_spd': 0.053, 'mag_z': -8362.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.86, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.058, 'a_y': -0.033, 'a_x': -0.015, 'volt_b1': 3.456, 'pressure': 100468.379, 'volt_b2': 1.024, 'current_2': -6.0, 'current_1': -130.0, 'time': 1486082294.030141, 'mag_y': 195.0, 'mag_x': 7697.0, 'gps_spd': 0.053, 'mag_z': -8331.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.86, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.066, 'a_y': -0.029, 'a_x': -0.013, 'volt_b1': 3.584, 'pressure': 100468.379, 'volt_b2': 0.896, 'current_2': -4.0, 'current_1': -119.0, 'time': 1486082294.109189, 'mag_y': 262.0, 'mag_x': 7711.0, 'gps_spd': 0.053, 'mag_z': -8333.0}
